MACHINE: C:\Users\lucas\Desktop\BOXSIM\hollow_sphere_mu_2516.m
DATE: 26-Jan-2024
486 1725 1
    6.1230317691E-17     0.0000000000E+00    -1.0000000000E+00
    6.1230317691E-17     0.0000000000E+00     1.0000000000E+00
    3.0615158846E-17     0.0000000000E+00    -5.0000000000E-01
    3.0615158846E-17     0.0000000000E+00     5.0000000000E-01
    2.2252093396E-01     0.0000000000E+00    -9.7492791218E-01
    4.3388373912E-01     0.0000000000E+00    -9.0096886790E-01
    6.2348980186E-01     0.0000000000E+00    -7.8183148247E-01
    7.8183148247E-01     0.0000000000E+00    -6.2348980186E-01
    9.0096886790E-01     0.0000000000E+00    -4.3388373912E-01
    9.7492791218E-01     0.0000000000E+00    -2.2252093396E-01
    1.0000000000E+00     0.0000000000E+00    -2.2100377084E-15
    9.7492791218E-01     0.0000000000E+00     2.2252093396E-01
    9.0096886790E-01     0.0000000000E+00     4.3388373912E-01
    7.8183148247E-01     0.0000000000E+00     6.2348980186E-01
    6.2348980186E-01     0.0000000000E+00     7.8183148247E-01
    4.3388373912E-01     0.0000000000E+00     9.0096886790E-01
    2.2252093396E-01     0.0000000000E+00     9.7492791218E-01
    2.1694186956E-01     0.0000000000E+00    -4.5048443395E-01
    3.9091574123E-01     0.0000000000E+00    -3.1174490093E-01
    4.8746395609E-01     0.0000000000E+00    -1.1126046698E-01
    4.8746395609E-01     0.0000000000E+00     1.1126046698E-01
    3.9091574123E-01     0.0000000000E+00     3.1174490093E-01
    2.1694186956E-01     0.0000000000E+00     4.5048443395E-01
    9.7486252023E-01     1.9254429123E-01    -1.1211495244E-01
    3.0500881008E-01    -2.2639242593E-01    -9.2504923937E-01
    5.2197499075E-01    -1.9351740037E-01     8.3071843893E-01
    9.2253262950E-01    -2.2427696080E-01     3.1405953635E-01
    8.3071843894E-01    -1.9351740039E-01    -5.2197499074E-01
    9.2891863283E-01     1.8705393652E-01     3.1956376268E-01
    3.2403574506E-01     1.9351740038E-01     9.2604095572E-01
    1.0984799406E-01    -1.9351740038E-01     9.7492791218E-01
    6.9374023083E-01     1.9351740038E-01     6.9374023083E-01
    9.7161422848E-01    -2.0158126427E-01    -1.2381754685E-01
    5.2197499075E-01    -1.9351740038E-01    -8.3071843893E-01
    9.7536824231E-01     1.9249547535E-01     1.0771389821E-01
    6.9939016206E-01    -1.9528976898E-01    -6.8754294945E-01
    5.8103262943E-01    -3.8252965340E-01    -7.1838161711E-01
    3.9501774818E-01    -3.8108036839E-01    -8.3590593457E-01
    1.7100261706E-01    -4.0497289547E-01    -8.9819544582E-01
    4.3248086384E-01    -5.5018859855E-01    -7.1431982223E-01
    6.0862006017E-01    -5.4552763822E-01    -5.7617811334E-01
